Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia,date,close
19/04/2018,B,$$,11148.8476,11148.8476,2314500762,15865437070,2,0,BLOOMBERG,2018-04-19,11148.8476
20/04/2018,B,$$,11149.3522,11149.3522,2314605517,15459707986,2,0,BLOOMBERG,2018-04-20,11149.3522
21/04/2018,B,$$,11150.4555,11150.4555,2314834562,15461639604,2,0,BLOOMBERG,2018-04-21,11150.4555
22/04/2018,B,$$,11151.5357,11151.5357,2315058811,15463539218,2,0,BLOOMBERG,2018-04-22,11151.5357
23/04/2018,B,$$,11152.1055,11152.1055,2315177102,15464731429,2,0,BLOOMBERG,2018-04-23,11152.1055
24/04/2018,B,$$,11150.6092,11150.6092,2314866470,15498410732,2,0,BLOOMBERG,2018-04-24,11150.6092
25/04/2018,B,$$,11148.1103,11148.1103,2314347698,15487202917,2,0,BLOOMBERG,2018-04-25,11148.1103
26/04/2018,B,$$,11149.5397,11149.5397,2314644442,15479763619,2,0,BLOOMBERG,2018-04-26,11149.5397
27/04/2018,B,$$,11152.3503,11152.3503,2315227922,15484232254,2,0,BLOOMBERG,2018-04-27,11152.3503
28/04/2018,B,$$,11153.4942,11153.4942,2315465396,15486222243,2,0,BLOOMBERG,2018-04-28,11153.4942
29/04/2018,B,$$,11154.5695,11154.5695,2315688628,15488117106,2,0,BLOOMBERG,2018-04-29,11154.5695
30/04/2018,B,$$,11158.9858,11158.9858,2316605452,15496153322,3,1,BLOOMBERG,2018-04-30,11158.9858
01/05/2018,B,$$,11159.9322,11159.9322,2316801925,15497870109,3,1,BLOOMBERG,2018-05-01,11159.9322
02/05/2018,B,$$,11164.2204,11164.2204,1814442592,15506330467,3,1,BLOOMBERG,2018-05-02,11164.2204
03/05/2018,B,$$,11171.2541,11171.2541,2015662891,15717063728,2,0,BLOOMBERG,2018-05-03,11171.2541
04/05/2018,B,$$,11173.4828,11173.4828,2016065022,16008440642,2,0,BLOOMBERG,2018-05-04,11173.4828
05/05/2018,B,$$,11174.514,11174.514,2016251085,16010326392,2,0,BLOOMBERG,2018-05-05,11174.514
06/05/2018,B,$$,11175.5945,11175.5945,2016446042,16012282585,2,0,BLOOMBERG,2018-05-06,11175.5945
07/05/2018,B,$$,11174.5006,11174.5006,2016248667,16155895732,2,0,BLOOMBERG,2018-05-07,11174.5006
08/05/2018,B,$$,11186.5965,11186.5965,2018431166,16386951341,2,0,BLOOMBERG,2018-05-08,11186.5965
09/05/2018,B,$$,11185.6663,11185.6663,2018263328,15977712192,2,0,BLOOMBERG,2018-05-09,11185.6663
10/05/2018,B,$$,11186.2141,11186.2141,2018362169,15970460046,2,0,BLOOMBERG,2018-05-10,11186.2141
11/05/2018,B,$$,11189.1193,11189.1193,2018886363,16013249391,2,0,BLOOMBERG,2018-05-11,11189.1193
12/05/2018,B,$$,11190.452,11190.452,2019126826,16015569259,2,0,BLOOMBERG,2018-05-12,11190.452
13/05/2018,B,$$,11191.7822,11191.7822,2019366838,16017885440,2,0,BLOOMBERG,2018-05-13,11191.7822
14/05/2018,B,$$,11193.3985,11193.3985,2019658472,16012300341,2,0,BLOOMBERG,2018-05-14,11193.3985
15/05/2018,B,$$,11194.1872,11194.1872,2019800779,16469010285,2,0,BLOOMBERG,2018-05-15,11194.1872
16/05/2018,B,$$,11198.6564,11198.6564,2020607170,16898471645,2,0,BLOOMBERG,2018-05-16,11198.6564
17/05/2018,B,$$,11202.5412,11202.5412,2021308116,16634965545,2,0,BLOOMBERG,2018-05-17,11202.5412
